title,genre,rating,year,director,poster
Film_0,Thriller,5.9,2016,Director_47,https://via.placeholder.com/300x450.png?text=Film_0
Film_1,Thriller,5.4,2015,Director_73,https://via.placeholder.com/300x450.png?text=Film_1
Film_2,Action,6.1,1999,Director_74,https://via.placeholder.com/300x450.png?text=Film_2
Film_3,Drama,7.7,2004,Director_68,https://via.placeholder.com/300x450.png?text=Film_3
Film_4,Sci-Fi,6.1,1991,Director_9,https://via.placeholder.com/300x450.png?text=Film_4
Film_5,Thriller,5.4,2016,Director_1,https://via.placeholder.com/300x450.png?text=Film_5
Film_6,Action,6.3,1994,Director_47,https://via.placeholder.com/300x450.png?text=Film_6
Film_7,Sci-Fi,8.4,2023,Director_1,https://via.placeholder.com/300x450.png?text=Film_7
Film_8,Sci-Fi,6.2,2005,Director_65,https://via.placeholder.com/300x450.png?text=Film_8
Film_9,Horror,8.1,2010,Director_83,https://via.placeholder.com/300x450.png?text=Film_9
Film_10,Drama,8.6,1991,Director_70,https://via.placeholder.com/300x450.png?text=Film_10
Film_11,Thriller,7.9,2018,Director_68,https://via.placeholder.com/300x450.png?text=Film_11
Film_12,Action,6.8,2004,Director_72,https://via.placeholder.com/300x450.png?text=Film_12
Film_13,Sci-Fi,8.2,1993,Director_39,https://via.placeholder.com/300x450.png?text=Film_13
Film_14,Romance,6.4,2017,Director_93,https://via.placeholder.com/300x450.png?text=Film_14
Film_15,Drama,6.6,1997,Director_11,https://via.placeholder.com/300x450.png?text=Film_15
Film_16,Horror,9.4,2022,Director_58,https://via.placeholder.com/300x450.png?text=Film_16
Film_17,Comedy,7.1,1991,Director_28,https://via.placeholder.com/300x450.png?text=Film_17
Film_18,Action,7.1,2023,Director_88,https://via.placeholder.com/300x450.png?text=Film_18
Film_19,Horror,7.6,2016,Director_56,https://via.placeholder.com/300x450.png?text=Film_19
Film_20,Thriller,8.8,2002,Director_55,https://via.placeholder.com/300x450.png?text=Film_20
Film_21,Comedy,9.5,2010,Director_47,https://via.placeholder.com/300x450.png?text=Film_21
Film_22,Horror,7.5,2019,Director_63,https://via.placeholder.com/300x450.png?text=Film_22
Film_23,Romance,7.0,2000,Director_35,https://via.placeholder.com/300x450.png?text=Film_23
Film_24,Thriller,7.5,1995,Director_29,https://via.placeholder.com/300x450.png?text=Film_24
Film_25,Drama,8.1,2008,Director_62,https://via.placeholder.com/300x450.png?text=Film_25
Film_26,Comedy,5.1,2024,Director_13,https://via.placeholder.com/300x450.png?text=Film_26
Film_27,Drama,7.2,2001,Director_18,https://via.placeholder.com/300x450.png?text=Film_27
Film_28,Sci-Fi,5.5,1997,Director_19,https://via.placeholder.com/300x450.png?text=Film_28
Film_29,Horror,7.8,2018,Director_45,https://via.placeholder.com/300x450.png?text=Film_29
Film_30,Thriller,8.3,2003,Director_7,https://via.placeholder.com/300x450.png?text=Film_30
Film_31,Action,7.6,2008,Director_15,https://via.placeholder.com/300x450.png?text=Film_31
Film_32,Sci-Fi,9.2,1992,Director_91,https://via.placeholder.com/300x450.png?text=Film_32
Film_33,Action,6.4,2022,Director_4,https://via.placeholder.com/300x450.png?text=Film_33
Film_34,Action,7.8,1995,Director_4,https://via.placeholder.com/300x450.png?text=Film_34
Film_35,Horror,7.6,2008,Director_60,https://via.placeholder.com/300x450.png?text=Film_35
Film_36,Action,9.0,1992,Director_46,https://via.placeholder.com/300x450.png?text=Film_36
Film_37,Drama,7.8,2003,Director_2,https://via.placeholder.com/300x450.png?text=Film_37
Film_38,Horror,8.6,2001,Director_9,https://via.placeholder.com/300x450.png?text=Film_38
Film_39,Action,6.1,2001,Director_78,https://via.placeholder.com/300x450.png?text=Film_39
Film_40,Sci-Fi,8.9,2007,Director_53,https://via.placeholder.com/300x450.png?text=Film_40
Film_41,Sci-Fi,6.2,2022,Director_91,https://via.placeholder.com/300x450.png?text=Film_41
Film_42,Thriller,5.0,2008,Director_79,https://via.placeholder.com/300x450.png?text=Film_42
Film_43,Drama,8.3,2001,Director_78,https://via.placeholder.com/300x450.png?text=Film_43
Film_44,Thriller,6.1,2000,Director_43,https://via.placeholder.com/300x450.png?text=Film_44
Film_45,Horror,8.1,2012,Director_61,https://via.placeholder.com/300x450.png?text=Film_45
Film_46,Thriller,5.7,2006,Director_80,https://via.placeholder.com/300x450.png?text=Film_46
Film_47,Action,5.6,1997,Director_98,https://via.placeholder.com/300x450.png?text=Film_47
Film_48,Thriller,8.9,2018,Director_26,https://via.placeholder.com/300x450.png?text=Film_48
Film_49,Action,8.0,2003,Director_74,https://via.placeholder.com/300x450.png?text=Film_49
Film_50,Comedy,5.3,2011,Director_23,https://via.placeholder.com/300x450.png?text=Film_50
Film_51,Drama,9.0,1999,Director_93,https://via.placeholder.com/300x450.png?text=Film_51
Film_52,Thriller,5.3,2020,Director_58,https://via.placeholder.com/300x450.png?text=Film_52
Film_53,Horror,8.4,1997,Director_5,https://via.placeholder.com/300x450.png?text=Film_53
Film_54,Thriller,8.9,2019,Director_31,https://via.placeholder.com/300x450.png?text=Film_54
Film_55,Thriller,7.2,2019,Director_14,https://via.placeholder.com/300x450.png?text=Film_55
Film_56,Sci-Fi,5.0,2017,Director_59,https://via.placeholder.com/300x450.png?text=Film_56
Film_57,Horror,5.5,2011,Director_96,https://via.placeholder.com/300x450.png?text=Film_57
Film_58,Drama,9.3,2003,Director_27,https://via.placeholder.com/300x450.png?text=Film_58
Film_59,Thriller,8.2,2013,Director_15,https://via.placeholder.com/300x450.png?text=Film_59
Film_60,Thriller,7.0,1993,Director_34,https://via.placeholder.com/300x450.png?text=Film_60
Film_61,Romance,7.7,1990,Director_48,https://via.placeholder.com/300x450.png?text=Film_61
Film_62,Drama,9.1,2024,Director_32,https://via.placeholder.com/300x450.png?text=Film_62
Film_63,Romance,9.2,2014,Director_81,https://via.placeholder.com/300x450.png?text=Film_63
Film_64,Horror,9.3,1995,Director_5,https://via.placeholder.com/300x450.png?text=Film_64
Film_65,Drama,9.2,1997,Director_35,https://via.placeholder.com/300x450.png?text=Film_65
Film_66,Horror,6.2,2019,Director_77,https://via.placeholder.com/300x450.png?text=Film_66
Film_67,Comedy,9.3,2024,Director_99,https://via.placeholder.com/300x450.png?text=Film_67
Film_68,Horror,5.6,1996,Director_72,https://via.placeholder.com/300x450.png?text=Film_68
Film_69,Drama,6.1,2014,Director_16,https://via.placeholder.com/300x450.png?text=Film_69
Film_70,Romance,5.8,1999,Director_56,https://via.placeholder.com/300x450.png?text=Film_70
Film_71,Horror,8.1,1993,Director_10,https://via.placeholder.com/300x450.png?text=Film_71
Film_72,Thriller,9.1,2023,Director_7,https://via.placeholder.com/300x450.png?text=Film_72
Film_73,Action,5.5,1995,Director_70,https://via.placeholder.com/300x450.png?text=Film_73
Film_74,Sci-Fi,7.9,2003,Director_39,https://via.placeholder.com/300x450.png?text=Film_74
Film_75,Romance,8.8,2000,Director_20,https://via.placeholder.com/300x450.png?text=Film_75
Film_76,Action,5.4,1996,Director_81,https://via.placeholder.com/300x450.png?text=Film_76
Film_77,Sci-Fi,8.2,1993,Director_60,https://via.placeholder.com/300x450.png?text=Film_77
Film_78,Action,5.8,1999,Director_45,https://via.placeholder.com/300x450.png?text=Film_78
Film_79,Horror,6.1,2003,Director_73,https://via.placeholder.com/300x450.png?text=Film_79
Film_80,Horror,8.8,2012,Director_52,https://via.placeholder.com/300x450.png?text=Film_80
Film_81,Romance,9.1,2015,Director_52,https://via.placeholder.com/300x450.png?text=Film_81
Film_82,Romance,8.0,2016,Director_32,https://via.placeholder.com/300x450.png?text=Film_82
Film_83,Comedy,7.1,1992,Director_56,https://via.placeholder.com/300x450.png?text=Film_83
Film_84,Action,7.5,1992,Director_25,https://via.placeholder.com/300x450.png?text=Film_84
Film_85,Action,8.9,2016,Director_70,https://via.placeholder.com/300x450.png?text=Film_85
Film_86,Thriller,8.2,2001,Director_58,https://via.placeholder.com/300x450.png?text=Film_86
Film_87,Romance,7.1,2004,Director_21,https://via.placeholder.com/300x450.png?text=Film_87
Film_88,Romance,8.2,2013,Director_74,https://via.placeholder.com/300x450.png?text=Film_88
Film_89,Comedy,5.8,2000,Director_33,https://via.placeholder.com/300x450.png?text=Film_89
Film_90,Action,5.8,2010,Director_29,https://via.placeholder.com/300x450.png?text=Film_90
Film_91,Action,8.5,2010,Director_5,https://via.placeholder.com/300x450.png?text=Film_91
Film_92,Action,5.2,2011,Director_36,https://via.placeholder.com/300x450.png?text=Film_92
Film_93,Thriller,9.0,1991,Director_29,https://via.placeholder.com/300x450.png?text=Film_93
Film_94,Romance,5.8,2017,Director_9,https://via.placeholder.com/300x450.png?text=Film_94
Film_95,Action,5.5,2024,Director_27,https://via.placeholder.com/300x450.png?text=Film_95
Film_96,Sci-Fi,9.0,1993,Director_5,https://via.placeholder.com/300x450.png?text=Film_96
Film_97,Comedy,8.1,2004,Director_26,https://via.placeholder.com/300x450.png?text=Film_97
Film_98,Horror,9.5,2015,Director_38,https://via.placeholder.com/300x450.png?text=Film_98
Film_99,Sci-Fi,5.8,2011,Director_17,https://via.placeholder.com/300x450.png?text=Film_99
Film_100,Action,6.4,2010,Director_38,https://via.placeholder.com/300x450.png?text=Film_100
Film_101,Thriller,7.2,1992,Director_11,https://via.placeholder.com/300x450.png?text=Film_101
Film_102,Comedy,5.6,2023,Director_2,https://via.placeholder.com/300x450.png?text=Film_102
Film_103,Drama,9.4,2016,Director_72,https://via.placeholder.com/300x450.png?text=Film_103
Film_104,Sci-Fi,8.4,1998,Director_14,https://via.placeholder.com/300x450.png?text=Film_104
Film_105,Comedy,6.1,2019,Director_61,https://via.placeholder.com/300x450.png?text=Film_105
Film_106,Thriller,6.0,1996,Director_17,https://via.placeholder.com/300x450.png?text=Film_106
Film_107,Drama,8.3,2007,Director_72,https://via.placeholder.com/300x450.png?text=Film_107
Film_108,Thriller,8.2,2021,Director_70,https://via.placeholder.com/300x450.png?text=Film_108
Film_109,Comedy,5.9,2003,Director_17,https://via.placeholder.com/300x450.png?text=Film_109
Film_110,Action,7.4,2003,Director_87,https://via.placeholder.com/300x450.png?text=Film_110
Film_111,Romance,7.6,2001,Director_78,https://via.placeholder.com/300x450.png?text=Film_111
Film_112,Drama,6.3,1995,Director_17,https://via.placeholder.com/300x450.png?text=Film_112
Film_113,Sci-Fi,7.0,2013,Director_45,https://via.placeholder.com/300x450.png?text=Film_113
Film_114,Horror,9.4,2000,Director_86,https://via.placeholder.com/300x450.png?text=Film_114
Film_115,Action,8.6,2014,Director_57,https://via.placeholder.com/300x450.png?text=Film_115
Film_116,Sci-Fi,8.0,2020,Director_70,https://via.placeholder.com/300x450.png?text=Film_116
Film_117,Sci-Fi,8.0,2019,Director_12,https://via.placeholder.com/300x450.png?text=Film_117
Film_118,Thriller,9.1,2022,Director_29,https://via.placeholder.com/300x450.png?text=Film_118
Film_119,Comedy,5.8,1999,Director_78,https://via.placeholder.com/300x450.png?text=Film_119
